,Title,Type,Release Year,Rating,Seasons,Genres,Vote Average
202,The Vampire Diaries,SHOW,2009,TV-14,8.0,"['drama', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']",8.344
203,Peacemaker,SHOW,2022,TV-MA,1.0,"['action', 'scifi', 'comedy', 'crime', 'fantasy', 'family']",8.343
204,Peacemaker,SHOW,2022,TV-MA,1.0,"['action', 'scifi', 'comedy', 'crime', 'fantasy', 'family']",8.343
205,Peacemaker,SHOW,2022,TV-MA,1.0,"['action', 'scifi', 'comedy', 'crime', 'fantasy', 'family']",8.343
206,Peacemaker,SHOW,2022,TV-MA,1.0,"['action', 'scifi', 'comedy', 'crime', 'fantasy', 'family']",8.343
207,Peacemaker,SHOW,2022,TV-MA,1.0,"['action', 'scifi', 'comedy', 'crime', 'fantasy', 'family']",8.343
208,Peacemaker,SHOW,2022,TV-MA,1.0,"['action', 'scifi', 'comedy', 'crime', 'fantasy', 'family']",8.343
209,South Park,SHOW,1997,TV-MA,26.0,"['comedy', 'animation']",8.34
210,South Park,SHOW,1997,TV-MA,26.0,"['comedy', 'animation']",8.34
211,Prodigal Son,SHOW,2019,TV-14,2.0,"['drama', 'crime', 'thriller']",8.319
212,Prodigal Son,SHOW,2019,TV-14,2.0,"['drama', 'crime', 'thriller']",8.319
213,Prodigal Son,SHOW,2019,TV-14,2.0,"['drama', 'crime', 'thriller']",8.319
214,Ben 10: Alien Force,SHOW,2008,TV-Y7,3.0,"['scifi', 'action', 'animation', 'comedy', 'drama', 'family']",8.318
215,Ben 10: Alien Force,SHOW,2008,TV-Y7,3.0,"['scifi', 'action', 'animation', 'comedy', 'drama', 'family']",8.318
216,Ben 10: Alien Force,SHOW,2008,TV-Y7,3.0,"['scifi', 'action', 'animation', 'comedy', 'drama', 'family']",8.318
217,Ben 10: Alien Force,SHOW,2008,TV-Y7,3.0,"['scifi', 'action', 'animation', 'comedy', 'drama', 'family']",8.318
218,Ben 10: Alien Force,SHOW,2008,TV-Y7,3.0,"['scifi', 'action', 'animation', 'comedy', 'drama', 'family']",8.318
219,Ben 10: Alien Force,SHOW,2008,TV-Y7,3.0,"['scifi', 'action', 'animation', 'comedy', 'drama', 'family']",8.318
220,Joint Venture,SHOW,2019,TV-MA,2.0,"['drama', 'crime', 'comedy']",8.308
221,Joint Venture,SHOW,2019,TV-MA,2.0,"['drama', 'crime', 'comedy']",8.308
222,Joint Venture,SHOW,2019,TV-MA,2.0,"['drama', 'crime', 'comedy']",8.308
223,From the Earth to the Moon,SHOW,1998,TV-PG,1.0,"['action', 'drama', 'history', 'thriller']",8.3
224,From the Earth to the Moon,SHOW,1998,TV-PG,1.0,"['action', 'drama', 'history', 'thriller']",8.3
225,From the Earth to the Moon,SHOW,1998,TV-PG,1.0,"['action', 'drama', 'history', 'thriller']",8.3
226,From the Earth to the Moon,SHOW,1998,TV-PG,1.0,"['action', 'drama', 'history', 'thriller']",8.3
227,South Side,SHOW,2019,TV-MA,3.0,['comedy'],8.3
228,Living Single,SHOW,1993,TV-14,5.0,['comedy'],8.3
229,Teen Titans,SHOW,2003,TV-Y7,5.0,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi', 'thriller']",8.3
230,Teen Titans,SHOW,2003,TV-Y7,5.0,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi', 'thriller']",8.3
231,Teen Titans,SHOW,2003,TV-Y7,5.0,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi', 'thriller']",8.3
232,Teen Titans,SHOW,2003,TV-Y7,5.0,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi', 'thriller']",8.3
233,Teen Titans,SHOW,2003,TV-Y7,5.0,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi', 'thriller']",8.3
234,Teen Titans,SHOW,2003,TV-Y7,5.0,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi', 'thriller']",8.3
