,Title,Type,Country,Director,Cast,Release Year,Rating,Duration,Vote Average
80,Pimpal,Movie,India,Gajendra Ahire,"Dilip Prabhavalkar, Priya Bapat, Kishore Kadam, Vrinda Gajendra, Alok Rajwade, Sakhi Gokhale",2017,TV-PG,92 min,8.224
81,The Legacy of a Whitetail Deer Hunter,Movie,United States,Jody Hill,"Josh Brolin, Danny McBride, Montana Jordan, Scoot McNairy, Carrie Coon",2018,TV-14,83 min,8.214
82,How to Get Over a Breakup,Movie,Peru,"Joanna Lombardi, Bruno Ascenzo","Gisela Ponce de León, Karina Jordán, Jely Reátegui, Andrés Salas, Christopher Von Uckermann, Carlos Carlín",2018,TV-MA,104 min,8.2
83,The World Is Yours,Movie,France,Romain Gavras,"Isabelle Adjani, Karim Leklou, François Damiens, Vincent Cassel, Oulaya Amamra",2018,TV-MA,101 min,8.2
84,Beyond the Clouds,Movie,India,Majid Majidi,"Ishaan Khattar, Malavika Mohanan, Goutam Ghose, Sharada, Tannishtha Chatterjee, Shashank Shende, Hema Singh, Akash Gopal",2018,TV-14,120 min,8.2
85,Beyond the Clouds,Movie, Iran,Majid Majidi,"Ishaan Khattar, Malavika Mohanan, Goutam Ghose, Sharada, Tannishtha Chatterjee, Shashank Shende, Hema Singh, Akash Gopal",2018,TV-14,120 min,8.2
86,Fida,Movie,India,Ken Ghosh,"Fardeen Khan, Kareena Kapoor, Shahid Kapoor, Kim Sharma, Akhilendra Mishra",2004,TV-14,117 min,8.2
87,Bullitt County,Movie,United States,David McCracken,"Mike C. Nelson, Jenni Melear, David McCracken, Napoleon Ryan, Dorothy Lyman, Richard Riehle",2018,TV-MA,98 min,8.2
88,Charming,Movie,Canada,Ross Venokur,"Wilmer Valderrama, Demi Lovato, Sia, Nia Vardalos, Ashley Tisdale, Avril Lavigne, G.E.M., John Cleese, Chris Harrison, Dee Bradley Baker, Carlos Alazraqui",2021,TV-Y7,85 min,8.2
89,Charming,Movie, United States,Ross Venokur,"Wilmer Valderrama, Demi Lovato, Sia, Nia Vardalos, Ashley Tisdale, Avril Lavigne, G.E.M., John Cleese, Chris Harrison, Dee Bradley Baker, Carlos Alazraqui",2021,TV-Y7,85 min,8.2
90,Charming,Movie, Cayman Islands,Ross Venokur,"Wilmer Valderrama, Demi Lovato, Sia, Nia Vardalos, Ashley Tisdale, Avril Lavigne, G.E.M., John Cleese, Chris Harrison, Dee Bradley Baker, Carlos Alazraqui",2021,TV-Y7,85 min,8.2
91,Barbie in Rock 'N Royals,Movie,United States,Karen J. Lloyd,"Kelly Sheridan, Chiara Zanni, Bethany Brown, Devyn Dalton, Michael Dobson, Brynna Drummond, Rachel Harrison, Alessandro Juliani, Peter Kelamis, Omari Newton, Ingrid Nilson, Nicole Oliver, Shaun Smyth, Kira Tozer",2015,TV-Y,83 min,8.2
92,​Maj Rati ​​Keteki,Movie,India,Santwana Bardoloi,"Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar",2017,TV-14,117 min,8.2
93,Born Beautiful,Movie,Philippines,Perci Intalan,"Martin del Rosario, Lou Veloso, Chai Fonacier, Kiko Matos, Akihiro Blanco, Paolo Ballesteros",2019,TV-MA,96 min,8.2
94,Sylvia,Movie,Nigeria,Daniel Oriahi,"Chris Attoh, Zainab Balogun, Ini Dima-Okojie, Udoka Onyeka, Lord Frank, Bolaji Ogunmola, Ijeoma Grace Agu, Omotunde Adebowale David",2018,TV-14,104 min,8.199
95,The Open House,Movie,Canada,"Matt Angel, Suzanne Coote","Dylan Minnette, Piercey Dalton, Patricia Bethune, Sharif Atkins, Aaron Abrams, Edward Olson, Katie Walder, Paul Rae",2018,TV-MA,95 min,8.196
96,The Open House,Movie, United States,"Matt Angel, Suzanne Coote","Dylan Minnette, Piercey Dalton, Patricia Bethune, Sharif Atkins, Aaron Abrams, Edward Olson, Katie Walder, Paul Rae",2018,TV-MA,95 min,8.196
97,What Would Sophia Loren Do?,Movie,United States,Ross Kauffman,"Nancy ""Vincenza Careri"" Kulik, Sophia Loren",2021,TV-14,32 min,8.172
