,Title,Type,Country,Release Year,Rating,Seasons,Vote Average
267,The Middle,SHOW,['US'],2009,TV-PG,9.0,7.556
268,The Sex Lives of College Girls,SHOW,['US'],2021,TV-MA,2.0,7.554
269,Batman: The Brave and the Bold,SHOW,['US'],2008,TV-Y7,3.0,7.545
270,The Undoing,SHOW,['US'],2020,TV-MA,1.0,7.544
271,Our Boys,SHOW,['IL',2019,TV-MA,1.0,7.54
272,Our Boys,SHOW, 'US'],2019,TV-MA,1.0,7.54
273,The Powerpuff Girls,SHOW,['US'],1998,TV-Y7,7.0,7.539
274,The Powerpuff Girls,SHOW,['US'],2016,TV-Y7,3.0,4.865
275,Men of a Certain Age,SHOW,['US'],2009,TV-MA,2.0,7.525
276,Dawson's Creek,SHOW,['US'],1998,TV-PG,6.0,7.5
277,Chewing Gum,SHOW,['GB'],2015,TV-MA,2.0,7.5
278,The Shivering Truth,SHOW,['US'],2018,TV-MA,2.0,7.5
279,Witness,SHOW,['US'],2012,TV-MA,1.0,7.5
280,Crashing,SHOW,['US'],2017,TV-MA,3.0,7.5
281,Real Sports with Bryant Gumbel,SHOW,['US'],1995,TV-PG,29.0,7.5
282,George Harrison: Living in the Material World,SHOW,['US'],2011,Unknown,1.0,7.5
283,The Head,SHOW,['ES',2020,TV-14,2.0,7.495
284,The Head,SHOW, 'JP'],2020,TV-14,2.0,7.495
285,Scooby-Doo and Scrappy-Doo,SHOW,['US'],1979,TV-G,6.0,7.483
286,The Comeback,SHOW,['US'],2005,TV-MA,2.0,7.472
287,Beware the Batman,SHOW,['US'],2013,TV-PG,1.0,7.451
288,Awkwafina Is Nora from Queens,SHOW,['US'],2020,TV-MA,3.0,7.435
289,Harry Potter: Hogwarts Tournament of Houses,SHOW,['US'],2021,TV-PG,1.0,7.423
290,The Republic of Sarah,SHOW,['US'],2021,TV-14,1.0,7.417
291,Hacks,SHOW,['US'],2021,TV-MA,2.0,7.407
292,We Own This City,SHOW,['US'],2022,TV-MA,1.0,7.4
293,Frisky Dingo,SHOW,['US'],2006,TV-MA,2.0,7.4
294,The Brak Show,SHOW,['US',2000,TV-PG,3.0,7.4
295,The Brak Show,SHOW, 'CA'],2000,TV-PG,3.0,7.4
296,Three Busy Debras,SHOW,['US'],2020,TV-MA,2.0,7.4
297,Tim and Eric's Bedtime Stories,SHOW,['US'],2014,TV-14,2.0,7.4
298,I'll Be Gone in the Dark,SHOW,['US'],2020,TV-MA,1.0,7.4
299,"PCC, Secret Power",SHOW,['BR'],2022,TV-MA,1.0,7.4
300,The Carbonaro Effect,SHOW,['US'],2014,TV-14,6.0,7.4
301,A Brutal Pact: The Murder of Daniella Perez,SHOW,['BR'],2022,TV-MA,1.0,7.4
302,Sex and the City,SHOW,['US'],1998,TV-MA,6.0,7.4
303,12 oz. Mouse,SHOW,['US'],2005,TV-MA,3.0,7.4
304,gen:LOCK,SHOW,['US'],2019,TV-14,2.0,7.4
305,"Tim and Eric Awesome Show, Great Job!",SHOW,['US'],2007,TV-MA,5.0,7.4
306,Without a Trace,SHOW,['US'],2002,TV-14,7.0,7.4
307,Wahl Street,SHOW,['US'],2021,TV-MA,2.0,7.4
308,Two Weeks to Live,SHOW,['GB'],2020,TV-MA,1.0,7.395
309,Aqua Teen Hunger Force,SHOW,['US'],2000,TV-MA,11.0,7.387
310,Loiter Squad,SHOW,['US'],2012,TV-MA,3.0,7.385
311,Top Gear,SHOW,['GB'],2002,TV-PG,33.0,7.38
312,The Outsider,SHOW,['US'],2020,TV-MA,1.0,7.378
313,Veep,SHOW,['US'],2012,TV-MA,7.0,7.373
314,The Flintstones,SHOW,['US'],1960,TV-G,6.0,7.371
315,Somebody Somewhere,SHOW,['US'],2022,TV-MA,2.0,7.364
316,The Flight Attendant,SHOW,['US'],2020,TV-MA,2.0,7.36
317,Eastbound & Down,SHOW,['US'],2009,TV-MA,4.0,7.342
318,Bored to Death,SHOW,['US'],2009,TV-MA,3.0,7.341
319,How to Make It in America,SHOW,['US'],2010,TV-MA,2.0,7.337
320,The Lady and the Dale,SHOW,['US'],2021,TV-14,1.0,7.333
321,"The Heart, She Holler",SHOW,['US'],2011,TV-MA,3.0,7.333
322,Entourage,SHOW,['US'],2004,TV-MA,8.0,7.329
323,White House Farm,SHOW,['GB'],2020,TV-MA,1.0,7.329
324,La Jauría,SHOW,['CL'],2020,TV-MA,2.0,7.327
325,George Carlin's American Dream,SHOW,['US'],2022,TV-MA,1.0,7.308
326,Q: Into the Storm,SHOW,['US'],2021,TV-MA,1.0,7.304
327,The Jetsons,SHOW,['US'],1962,TV-G,3.0,7.3
328,In the House,SHOW,['US'],1995,TV-14,5.0,7.3
329,The Trial of Christine Keeler,SHOW,['GB'],2019,Unknown,1.0,7.3
330,"Lucy, the Daughter of the Devil",SHOW,['US'],2005,TV-MA,1.0,7.3
331,Patria,SHOW,['ES'],2020,TV-14,1.0,7.3
332,Being Serena,SHOW,['US'],2018,TV-PG,1.0,7.3
333,Major Crimes,SHOW,['US'],2012,TV-14,6.0,7.3
334,Looking,SHOW,['US'],2014,TV-MA,2.0,7.3
335,Anthony Bourdain: Parts Unknown,SHOW,['US'],2013,TV-PG,12.0,7.3
336,Torchwood,SHOW,['GB'],2006,TV-MA,4.0,7.292
337,Betty,SHOW,['US'],2020,TV-MA,2.0,7.273
338,Lovecraft Country,SHOW,['US'],2020,TV-MA,1.0,7.266
339,Enlightened,SHOW,['US'],2011,TV-MA,2.0,7.238
340,The Wayans Bros.,SHOW,['US'],1995,TV-14,5.0,7.232
341,We Baby Bears,SHOW,['US'],2022,TV-Y7,2.0,7.23
342,Undercurrent: The Disappearance of Kim Wall,SHOW,['US'],2022,TV-MA,1.0,7.222
343,Mosaic,SHOW,['US'],2018,TV-MA,1.0,7.205
344,The Tourist,SHOW,['GB'],2022,TV-MA,1.0,7.2
345,Tuca & Bertie,SHOW,['US'],2019,TV-MA,3.0,7.2
346,Your Pretty Face Is Going to Hell,SHOW,['US'],2013,TV-MA,4.0,7.2
347,The Murders at Starved Rock,SHOW,['US'],2021,TV-14,1.0,7.2
348,The Vow,SHOW,['US'],2020,TV-MA,2.0,7.2
349,Aquaman,SHOW,['US'],1967,TV-Y,1.0,7.2
350,Wellington Paranormal,SHOW,['NZ'],2018,TV-14,4.0,7.2
351,Perry Mason,SHOW,['US'],2020,TV-MA,2.0,7.2
352,Home Movies,SHOW,['US'],1999,TV-MA,4.0,7.2
353,Mildred Pierce,SHOW,['US'],2011,TV-MA,1.0,7.199
354,La Unidad,SHOW,['ES'],2020,Unknown,3.0,7.188
355,30 Coins,SHOW,['ES'],2020,TV-MA,2.0,7.187
356,The Sarah Jane Adventures,SHOW,['GB'],2007,TV-PG,5.0,7.187
357,Scenes from a Marriage,SHOW,['US'],2021,TV-MA,1.0,7.168
358,The Righteous Gemstones,SHOW,['US'],2019,TV-MA,3.0,7.147
359,Walker,SHOW,['US'],2021,TV-14,3.0,7.121
360,McMillions,SHOW,['US'],2020,TV-14,1.0,7.115
361,Miss Sherlock,SHOW,['JP'],2018,TV-14,1.0,7.109
362,Show Me a Hero,SHOW,['US'],2015,TV-MA,1.0,7.108
363,Batwoman,SHOW,['US'],2019,TV-14,3.0,7.104
364,The Great Pottery Throw Down,SHOW,['GB'],2015,TV-14,6.0,7.1
365,The Yogi Bear Show,SHOW,['US'],1961,TV-G,4.0,7.1
366,Queer You Are,SHOW,['ES'],2021,Unknown,1.0,7.1
367,Eagleheart,SHOW,['US'],2011,TV-MA,3.0,7.1
368,Rap Sh!t,SHOW,['US'],2022,TV-MA,2.0,7.1
369,Housing Complex C,SHOW,['US'],2022,TV-MA,1.0,7.1
370,The Bronze Garden,SHOW,['AR'],2017,TV-MA,3.0,7.1
371,The Case Against Adnan Syed,SHOW,['US'],2019,TV-14,1.0,7.1
372,New Looney Tunes,SHOW,['US'],2015,TV-Y7,3.0,7.1
