,Title,Type,Country,Director,Cast,Release Year,Rating,Duration,Vote Average
94,Nicky Jam: El Ganador,TV Show, United States,Unknown,"Nicky Jam, Diego Cadavid, Ana Lucia Dominguez, Darkiel, Osvaldo Friger, Jarlin Javier Martinez, Luis Rivera, Nestor Rodulfo, Luis Gonzaga",2018,TV-MA,1 Season,8.267
95,Nicky Jam: El Ganador,TV Show, Colombia,Unknown,"Nicky Jam, Diego Cadavid, Ana Lucia Dominguez, Darkiel, Osvaldo Friger, Jarlin Javier Martinez, Luis Rivera, Nestor Rodulfo, Luis Gonzaga",2018,TV-MA,1 Season,8.267
96,Love 101,TV Show,Turkey,Unknown,"Pınar Deniz, Kubilay Aka, Mert Yazıcıoğlu, Alina Boz, Selahattin Paşalı, İpek Filiz Yazıcı, Kaan Urgancıoğlu, Müfit Kayacan, Bade İşçil, Tuba Ünsal",2020,TV-MA,1 Season,8.262
97,The Terminal,TV Show,Unknown,Unknown,"Mohammad Mansour, Bouthayna Al Raesi, Bassima Hamada, Ahlaam Muhammed, Shaimaa Ali, Foaz Al -Shatti, Abdullah Bahman, Abdulmohsen Al-Qaffas, Mohammed Al Dosari",2018,TV-14,1 Season,8.258
98,Control Z,TV Show,Mexico,Unknown,"Ana Valeria Becerril, Michael Ronda, Yankel Stevan, Zion Moreno, Luis Curiel, Samantha Acuña, Macarena García, Fiona Palomo, Andrés Baida, Patricio Gallardo, Iván Aragón, Xabiani Ponce de León, Patricia Maqueo, Rodrigo Cachero, Rocío Verdejo, Mauro Sánchez Navarro, Lidia San José, Thanya López, Renata del Castillo, Arturo Barba, Kariam Castro, Ariana Saavedra, Alexander Holtmann, Nastassia Villasana, Marco Zunino",2021,TV-MA,2 Seasons,8.256
99,Father Brown,TV Show,United Kingdom,Ian Barber,"Mark Williams, Sorcha Cusack, Nancy Carroll, Alex Price, Hugo Speer, Tom Chambers, Keith Osborn",2017,TV-14,6 Seasons,8.254
100,Oddbods,TV Show,United Kingdom,Unknown,"Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi",2017,TV-Y,1 Season,8.251
101,Oddbods,TV Show, Singapore,Unknown,"Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi",2017,TV-Y,1 Season,8.251
102,Lavender,TV Show,Taiwan,Unknown,"Ambrose Hsu, Tammy Chen, Wang Jian Long, Lin Wei Jun, Hsia Ching Ting, Lin Heng Yi",2002,TV-14,1 Season,8.241
103,Get Organized with The Home Edit,TV Show,United States,Unknown,Unknown,2020,TV-PG,1 Season,8.24
