,Type,Title,Country,Release Year,Rating,Duration,Genres,Vote Average
1766,MOVIE,They Shall Not Grow Old,"['GB', 'NZ', 'TR']",2018,R,99,"['documentation', 'history', 'war']",7.781
1207,MOVIE,Scooby-Doo! Abracadabra-Doo,['US'],2010,G,75,['comedy'],7.78
241,MOVIE,A Woman Under the Influence,['US'],1974,R,155,"['drama', 'romance']",7.776
1365,MOVIE,The Dark Knight Rises,['US'],2012,PG-13,165,"['drama', 'thriller', 'action', 'crime']",7.774
953,MOVIE,Fantastic Mr. Fox,['US'],2009,PG,87,"['action', 'animation', 'comedy', 'family', 'crime', 'drama']",7.774
549,MOVIE,The Color Purple,['US'],1985,PG-13,154,['drama'],7.773
268,MOVIE,Elvis: That's the Way It Is,['US'],1970,G,97,"['music', 'documentation']",7.766
2179,MOVIE,King Richard,['US'],2021,PG-13,145,"['drama', 'sport']",7.76
513,MOVIE,Rain Man,['US'],1988,R,133,['drama'],7.759
982,MOVIE,Mystic River,['US'],2003,R,138,"['drama', 'thriller', 'crime']",7.746
796,MOVIE,Selena,['US'],1997,PG,127,"['drama', 'music']",7.745
2149,MOVIE,Dune,['US'],2021,PG-13,156,"['action', 'scifi', 'drama']",7.744
1402,MOVIE,"Batman: The Dark Knight Returns, Part 1",['US'],2012,PG-13,76,"['action', 'animation']",7.744
523,MOVIE,Platoon,"['US', 'GB']",1986,R,120,"['drama', 'action', 'war']",7.744
342,MOVIE,Ali: Fear Eats the Soul,['DE'],1974,Unknown,93,"['drama', 'european', 'romance']",7.741
1067,MOVIE,Ponyo,"['JP', 'US']",2008,G,101,"['family', 'animation', 'fantasy', 'comedy']",7.734
787,MOVIE,Fallen Angels,['HK'],1995,Unknown,90,"['action', 'crime', 'drama', 'romance', 'comedy']",7.733
330,MOVIE,Kwaidan,['JP'],1965,Unknown,183,"['fantasy', 'horror', 'drama']",7.728
1154,MOVIE,Temple Grandin,['US'],2010,Unknown,108,['drama'],7.727
84,MOVIE,Berlin: Symphony of a Great City,['DE'],1927,Unknown,69,"['documentation', 'history', 'european']",7.719
217,MOVIE,Cléo from 5 to 7,"['FR', 'IT']",1962,Unknown,90,"['drama', 'european', 'comedy', 'music']",7.714
1072,MOVIE,Hotel Rwanda,"['US', 'IT', 'ZA', 'GB']",2005,PG-13,121,"['drama', 'history', 'war']",7.71
