,Type,Title,Country,Release Year,Rating,Seasons,Genres,Vote Average
39,SHOW,Spawn,['US'],1997,TV-MA,3.0,"['action', 'animation', 'drama', 'crime', 'scifi', 'thriller', 'horror', 'fantasy', 'romance']",7.9
282,SHOW,Big Little Lies,['US'],2017,TV-MA,2.0,"['drama', 'crime']",7.9
235,SHOW,Hank Zipzer,['GB'],2014,Unknown,3.0,"['comedy', 'family', 'european']",7.9
89,SHOW,The Closer,['US'],2005,TV-MA,7.0,"['crime', 'drama']",7.9
579,SHOW,Rap Battlefield,['AR'],2021,Unknown,1.0,"['drama', 'music']",7.9
34,SHOW,Step by Step,['US'],1991,TV-G,7.0,"['comedy', 'drama', 'family', 'romance', 'sport', 'reality', 'horror']",7.9
430,SHOW,Who Killed Garrett Phillips?,['US'],2019,TV-MA,1.0,"['crime', 'documentation']",7.9
42,SHOW,"Ed, Edd n Eddy","['CA', 'US']",1999,TV-Y7,6.0,"['animation', 'family', 'comedy']",7.9
122,SHOW,The Life & Times of Tim,['US'],2008,TV-MA,3.0,"['comedy', 'animation']",7.9
126,SHOW,Watchmen: Motion Comic,['US'],2008,TV-14,1.0,"['scifi', 'action', 'animation', 'drama']",7.9
458,SHOW,The Gilded Age,['US'],2022,TV-MA,1.0,['drama'],7.9
134,SHOW,Check It Out! with Dr. Steve Brule,['US'],2010,TV-14,4.0,['comedy'],7.9
38,SHOW,Martin,['US'],1992,TV-14,6.0,"['comedy', 'drama', 'romance', 'family']",7.887
137,SHOW,Foster's Home for Imaginary Friends,['US'],2004,TV-Y7,6.0,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",7.887
129,SHOW,"What's New, Scooby-Doo?",['US'],2002,TV-Y7,3.0,"['animation', 'action', 'thriller', 'comedy', 'family']",7.885
233,SHOW,El Negocio (The Business),['BR'],2013,TV-MA,4.0,"['drama', 'comedy']",7.877
66,SHOW,The Big Bang Theory,['US'],2007,TV-14,12.0,"['comedy', 'romance']",7.874
